All mechanisms,All S&E,2015,495213,100
Research assistantship,All S&E,2015,114916,23.2
Fellowship,All S&E,2015,42935,8.7
Traineeship,All S&E,2015,11120,2.2
Teaching assistantship,All S&E,2015,89019,18
Other,All S&E,2015,36110,7.3
Self-support,All S&E,2015,201113,40.6
All mechanisms,Engineering,2015,126733,100
Research assistantship,Engineering,2015,38949,30.7
Fellowship,Engineering,2015,9230,7.3
Traineeship,Engineering,2015,1110,0.9
Teaching assistantship,Engineering,2015,14994,11.8
Other,Engineering,2015,8422,6.6
Self-support,Engineering,2015,54028,42.6
All mechanisms,Agricultural sciences,2015,13071,100
Research assistantship,Agricultural sciences,2015,6154,47.1
Fellowship,Agricultural sciences,2015,965,7.4
Traineeship,Agricultural sciences,2015,43,0.3
Teaching assistantship,Agricultural sciences,2015,1896,14.5
Other,Agricultural sciences,2015,679,5.2
Self-support,Agricultural sciences,2015,3334,25.5
All mechanisms,Biological sciences,2015,71122,100
Research assistantship,Biological sciences,2015,23689,33.3
Fellowship,Biological sciences,2015,9287,13.1
Traineeship,Biological sciences,2015,5563,7.8
Teaching assistantship,Biological sciences,2015,10933,15.4
Other,Biological sciences,2015,4871,6.8
Self-support,Biological sciences,2015,16779,23.6
All mechanisms,Earth atmospheric and ocean sciences,2015,12286,100
Research assistantship,Earth atmospheric and ocean sciences,2015,4362,35.5
Fellowship,Earth atmospheric and ocean sciences,2015,1491,12.1
Traineeship,Earth atmospheric and ocean sciences,2015,92,0.7
Teaching assistantship,Earth atmospheric and ocean sciences,2015,3125,25.4
Other,Earth atmospheric and ocean sciences,2015,723,5.9
Self-support,Earth atmospheric and ocean sciences,2015,2493,20.3
All mechanisms,Computer sciences,2015,58329,100
Research assistantship,Computer sciences,2015,8201,14.1
Fellowship,Computer sciences,2015,1762,3
Traineeship,Computer sciences,2015,258,0.4
Teaching assistantship,Computer sciences,2015,6069,10.4
Other,Computer sciences,2015,3491,6
Self-support,Computer sciences,2015,38548,66.1
All mechanisms,Mathematics,2015,21153,100
Research assistantship,Mathematics,2015,1767,8.4
Fellowship,Mathematics,2015,1710,8.1
Traineeship,Mathematics,2015,183,0.9
Teaching assistantship,Mathematics,2015,9963,47.1
Other,Mathematics,2015,956,4.5
Self-support,Mathematics,2015,6574,31.1
All mechanisms,Medical and other health sciences,2015,46857,100
Research assistantship,Medical and other health sciences,2015,5381,11.5
Fellowship,Medical and other health sciences,2015,2191,4.7
Traineeship,Medical and other health sciences,2015,1644,3.5
Teaching assistantship,Medical and other health sciences,2015,4100,8.8
Other,Medical and other health sciences,2015,5493,11.7
Self-support,Medical and other health sciences,2015,28048,59.9
All mechanisms,Physical sciences,2015,36374,100
Research assistantship,Physical sciences,2015,13386,36.8
Fellowship,Physical sciences,2015,3955,10.9
Traineeship,Physical sciences,2015,358,1
Teaching assistantship,Physical sciences,2015,14567,40
Other,Physical sciences,2015,1168,3.2
Self-support,Physical sciences,2015,2940,8.1
All mechanisms,Psychology,2015,35478,100
Research assistantship,Psychology,2015,4798,13.5
Fellowship,Psychology,2015,2241,6.3
Traineeship,Psychology,2015,789,2.2
Teaching assistantship,Psychology,2015,6634,18.7
Other,Psychology,2015,3270,9.2
Self-support,Psychology,2015,17746,50
All mechanisms,Social sciences,2015,68423,100
Research assistantship,Social sciences,2015,7132,10.4
Fellowship,Social sciences,2015,9702,14.2
Traineeship,Social sciences,2015,927,1.4
Teaching assistantship,Social sciences,2015,15960,23.3
Other,Social sciences,2015,6380,9.3
Self-support,Social sciences,2015,28322,41.4
